0	227805	456
1	252288	1013
2	232533	1403
3	223503	1802
4	218749	2209
5	227860	2767
6	223586	3174
7	219766	3573
8	216702	3972
9	215806	4404
10	220906	4969
11	218630	5376
12	216350	5775
13	220092	6340
14	218966	6772
15	216922	7170
16	215072	7569
17	214048	7993
18	212669	8400
19	215177	8965
20	213601	9364
21	212671	9788
22	211442	10195
23	210778	10627
24	209657	11034
25	208439	11433
26	204808	11690
27	206602	12256
28	206206	12696
29	205287	13103
30	204905	13543
31	204396	13975
32	205786	14541
33	206367	15056
34	207769	15638
35	206815	16046
36	205679	16436
37	204919	16854
38	204216	17276
39	203265	17675
40	204197	18239
41	203616	18672
42	202684	19071
43	201611	19453
44	200815	19860
45	200282	20292
46	199674	20716
47	200326	21273
48	199486	21673
49	198952	22105
50	198128	22504
51	197608	22936
52	194989	23119
53	194313	23526
54	194924	24091
55	194174	24490
56	192404	24756
57	189927	24922
58	189266	25321
59	188737	25736
60	188151	26143
61	186045	26335
62	183999	26526
63	184559	27091
64	184027	27498
65	183664	27930
66	183083	28329
67	183041	28812
68	182255	29177
69	181684	29576
70	181117	29975
71	180754	30407
72	179709	30723
73	179161	31121
74	178617	31520
75	178309	31961
76	177815	32368
77	177413	32792
78	177056	33224
79	176522	33623
80	175990	34022
81	175462	34420
82	174937	34819
83	174004	35135
84	173497	35535
85	173020	35941
86	173300	36506
87	172316	36805
88	171849	37213
89	172061	37769
90	170914	38027
91	171111	38583
92	170528	38966
93	170418	39456
94	169944	39863
95	169052	40170
96	169139	40711
97	169288	41269
98	168204	41526
99	168632	42158
100	167333	42357
101	166866	42764
102	166977	43321
103	166474	43720
104	166005	44128
105	165505	44526
106	165129	44958
107	164752	45391
108	164255	45789
109	164348	46354
110	163877	46761
111	163378	47160
112	162881	47559
113	162385	47958
114	162031	48399
115	160960	48623
116	160474	49022
117	160528	49587
118	160119	50011
119	159631	50409
120	159248	50841
121	158427	51132
122	157411	51357
123	156710	51681
124	155642	51880
125	155277	52312
126	155302	52877
127	154859	53284
128	154416	53691
129	154400	54248
130	153954	54655
131	153508	55063
132	153063	55470
133	152483	55827
134	152130	56267
135	151777	56708
136	151422	57148
137	150674	57439
138	149781	57671
139	149346	58079
140	148890	58478
141	148414	58868
142	148064	59308
143	147692	59740
144	147218	60131
145	146744	60521
146	146372	60953
147	145999	61386
148	145488	61759
149	145037	62158
150	144571	62550
151	144121	62949
152	143766	63389
153	143299	63780
154	142850	64179
