iter	RMSE
248	108778.8558
249	108659.8705
250	108615.7868
251	108575.7286
252	108574.4319
253	108568.595
254	108537.2579
255	108492.5231
256	108429.2361
257	108305.4358
258	108304.0371
259	108246.2297
260	108187.3562
261	108187.038
262	108175.2148
263	107941.2832
264	107941.2772
265	107908.7203
266	107894.178
267	107658.73
268	107653.1407
269	107652.7551
270	107549.2653
271	107547.814
272	107469.6832
273	107391.262
274	107364.2227
275	107364.15
276	107114.2957
277	106999.1972
278	106731.6028
279	106731.1882
280	106621.538
281	106579.3581
282	106579.3507
283	106579.3501
284	106494.2203
285	106441.5116
286	106313.5799
287	106312.7171
288	106211.2123
289	106210.9766
290	106179.4548
291	106078.5711
292	106034.6257
293	106034.6257
294	105991.2638
295	105976.8041
296	105976.5814
297	105957.0101
298	105912.7564
299	105912.7505
300	105685.3865
301	105625.2292
302	105625.2236
303	105625.2184
304	105611.5662
305	105515.7101
306	105471.866
307	105439.1516
308	105222.9198
309	105222.9111
310	105222.5305
311	105220.6387
312	105220.5167
313	105216.9202
314	105178.2649
315	105176.7191
316	105176.6139
317	105095.1268
318	105018.6989
319	105018.5349
320	104964.3203
321	104964.1777
322	104964.1767
323	104874.4165
324	104856.7071
325	104822.6776
326	104771.9144
327	104758.4096
328	104758.3844
329	104758.2511
330	104754.79
331	104731.6199
332	104705.3405
333	104704.7584
334	104701.677
335	104701.6342
336	104631.6043
337	104606.0935
338	104580.0415
339	104552.9888
340	104540.9869
341	104540.1384
342	104530.2273
343	104489.9958
344	104489.9594
345	104470.2417
346	104439.8224
347	104432.897
348	104432.8641
349	104419.8971
350	104411.6832
351	104345.0932
352	104344.7537
353	104342.7917
354	104331.9006
355	104317.4525
356	104317.3898
357	104277.1458
358	104265.8366
359	104255.9133
360	104202.4203
361	104195.2055
362	104116.6686
363	103921.0331
364	103900.7209
365	103883.7492
366	103883.7071
367	103883.4126
368	103875.9546
369	103852.1095
370	103796.564
371	103789.7846
372	103789.7804
373	103737.3809
374	103682.9497
375	103655.4532
376	103654.5589
377	103625.2068
378	103497.3235
379	103459.5413
380	103459.4237
381	103406.8053
382	103406.8053
383	103385.8343
384	103366.8374
385	103308.5802
386	103284.1163
387	103284.068
388	103274.3199
389	103274.3155
390	103253.9256
391	103240.1951
392	103240.0983
393	103240.0176
394	103233.6473
395	103186.2221
396	103185.1759
397	103185.1625
398	103149.4166
399	103139.6396
400	103039.2614
401	103007.5532
402	103006.1606
403	103002.8956
404	102985.969
405	102875.1503
406	102780.2947
407	102771.0594
408	102657.2624
409	102632.2645
410	102621.4407
411	102601.1118
412	102601.11
413	102542.7015
414	102542.6341
415	102492.5229
416	102492.5223
417	102437.285
418	102393.2548
419	102393.2356
420	102393.2355
421	102351.1875
422	102339.3649
423	102301.8393
424	102254.8798
425	102248.6612
426	102228.1317
427	102217.9951
428	102217.8024
429	102217.7778
430	102211.9427
431	102211.9373
432	102127.802
433	102114.4164
434	102114.3782
435	102101.4017
436	102042.4811
437	102016.6277
438	102016.5274
439	101873.2748
440	101872.7996
441	101863.7985
442	101863.7934
443	101828.8339
444	101828.1957
445	101811.1633
446	101695.0789
447	101678.1919
448	101600.7432
449	101596.3774
450	101527.0292
451	101526.2048
452	101500.1566
453	101500.1246
454	101500.1217
455	101464.4673
456	101388.779
457	101388.412
458	101388.2071
459	101388.2071
460	101388.0977
461	101379.7484
462	101345.849
463	101343.6324
464	101309.5998
465	101308.9957
466	101308.7212
467	101168.4771
468	101080.8183
469	101080.4568
470	101058.0488
471	101051.9822
472	100974.8734
473	100947.0025
474	100936.6244
475	100936.1024
476	100936.0862
477	100936.0853
478	100869.5286
479	100865.7594
480	100865.7486
481	100865.3207
482	100865.0604
483	100865.0595
484	100865.0423
485	100861.1593
486	100860.8538
487	100816.8116
488	100816.8114
489	100816.7832
490	100811.4937
491	100811.4921
492	100811.44
493	100808.577
494	100808.5082
495	100806.4391
496	100806.4247
497	100792.4221
498	100743.2194
499	100743.1437
